No.,Pokémon,Entry,Bucket,Weight,Lv. Min,Lv. Max,Biomes,Excluded Biomes,Time,Weather,Multipliers,Context,Presets,Conditions,Anticonditions,skyLightMin,skyLightMax,canSeeSky,Patternkey=Value
0133,Eevee,2,rare,10,5,33,"Aether, Temperate",,any,any,,grounded,Natural,,,8,15,,
0133,Eevee,3,uncommon,1.84,5,33,Overworld,,any,any,,grounded,"Natural, Urban",,,8,15,,
0133,Eevee,4,uncommon,1.84,5,33,Overworld,,any,any,,grounded,Natural,structure:#minecraft:village,,8,15,,
0133,Eevee,5,uncommon,9.2,5,33,Overworld,,any,any,,grounded,Mansion,,,,,FALSE,
0134,Vaporeon,1,ultra-rare,1.2,28,53,"Freshwater, Jungle, Magical, Temperate, Tropical Island",Freezing,any,any,,grounded,Natural,minecraft:water,,8,15,,
0134,Vaporeon,2,ultra-rare,1.2,28,53,"Freshwater, Jungle, Magical, Temperate, Tropical Island",Freezing,any,any,,submerged,Water,,,8,15,,
0134,Vaporeon,3,uncommon,0.02,28,53,Overworld,,any,any,,grounded,"Natural, Urban",,,8,15,,
0134,Vaporeon,4,uncommon,0.02,28,53,Overworld,,any,any,,grounded,Natural,structure:#minecraft:village,,8,15,,
0134,Vaporeon,5,uncommon,0.1,28,53,Overworld,,any,any,,grounded,Mansion,,,,,FALSE,
0134,Vaporeon,6,ultra-rare,6,28,53,"Freshwater, Jungle, Magical, Temperate, Tropical Island",Freezing,any,any,,fishing,,,,8,15,,
0135,Jolteon,1,ultra-rare,1.2,28,53,Grassland,,any,any,,grounded,Natural,,,8,15,,
0135,Jolteon,2,uncommon,0.02,28,53,Overworld,,any,any,,grounded,"Natural, Urban",,,8,15,,
0135,Jolteon,3,uncommon,0.02,28,53,Overworld,,any,any,,grounded,Natural,structure:#minecraft:village,,8,15,,
0135,Jolteon,4,uncommon,0.1,28,53,Overworld,,any,any,,grounded,Mansion,,,,,FALSE,
0136,Flareon,1,ultra-rare,1.2,28,53,"Badlands, Desert",,any,any,,grounded,Natural,,,8,15,,
0136,Flareon,2,uncommon,0.02,28,53,Overworld,,any,any,,grounded,"Natural, Urban",,,8,15,,
0136,Flareon,3,uncommon,0.02,28,53,Overworld,,any,any,,grounded,Natural,structure:#minecraft:village,,8,15,,
0136,Flareon,4,uncommon,0.1,28,53,Overworld,,any,any,,grounded,Mansion,,,,,FALSE,
0137,Porygon,1,uncommon,9.2,15,40,Overworld,,any,any,,grounded,,cobblemon:pc,,,,any,
0138,Omanyte,1,ultra-rare,6,11,36,Lush,,any,any,,grounded,Natural,,,0,7,,
0138,Omanyte,2,ultra-rare,6,11,36,Lush,,any,any,,submerged,Water,,,0,7,,
0139,Omastar,1,ultra-rare,4,40,50,Lush,,any,any,,grounded,Natural,,,0,7,,
0139,Omastar,2,ultra-rare,4,40,50,Lush,,any,any,,submerged,Water,,,0,7,,
0140,Kabuto,1,ultra-rare,6,11,36,Lush,,any,any,,grounded,Natural,,,0,7,,
0140,Kabuto,2,ultra-rare,6,11,36,Lush,,any,any,,submerged,Water,,,0,7,,
0141,Kabutops,1,ultra-rare,4,40,50,Lush,,any,any,,grounded,Natural,,,0,7,,
0141,Kabutops,2,ultra-rare,4,40,50,Lush,,any,any,,submerged,Water,,,0,7,,
0142,Aerodactyl,1,ultra-rare,10,27,52,Lush,,any,any,,grounded,Natural,,,0,7,,
0143,Snorlax,1,rare,2.5,34,54,"Snowy Forest, Forest, Hills, Skyroot Forest, Skyroot Woodland",,any,any,,grounded,Natural,,#cobblemon:saccharine_trees,8,15,,
0143,Snorlax,2,uncommon,0.32,34,54,"Aether, Overworld",,any,any,,grounded,Natural,#cobblemon:saccharine_trees,,8,15,,
0147,Dratini,1,rare,7.5,5,30,Overworld,Deep Dark,any,any,,surface,Water,maxY = 32,,0,7,,
0147,Dratini,2,rare,7.5,5,30,Overworld,Deep Dark,any,any,,submerged,Water,maxY = 32,,0,7,,
0147,Dratini,3,uncommon,84,5,30,Ocean,,any,any,,submerged,"Water, Ocean_Ruins",,,,,TRUE,
0147,Dratini,4,rare,1.5,5,30,"Aether, Overworld",Deep Dark,any,any,,fishing,,maxY = 32,,0,7,,
0147,Dratini,5,ultra-rare,6,5,30,"Aether, Magical, Ocean",Frozen Ocean,any,any,,fishing,,,,,,TRUE,
0147,Dratini,6,uncommon,84,5,30,Ocean,,any,any,,submerged,"Water, Ocean_Ruins",,,8,15,FALSE,
0147,Dratini,7,ultra-rare,6,5,30,"Aether, Magical, Ocean",Frozen Ocean,any,any,,fishing,,,,8,15,FALSE,
0148,Dragonair,1,rare,2.25,30,42,Overworld,Deep Dark,any,any,,surface,Water,maxY = 32,,0,7,,
0148,Dragonair,2,rare,2.25,30,42,Overworld,Deep Dark,any,any,,submerged,Water,maxY = 32,,0,7,,
0148,Dragonair,3,uncommon,14.4,30,42,Ocean,,any,any,,submerged,"Water, Ocean_Ruins",,,,,TRUE,
0148,Dragonair,4,rare,0.45,30,42,"Aether, Overworld",Deep Dark,any,any,,fishing,,maxY = 32,,0,7,,
0148,Dragonair,5,ultra-rare,3.6,30,42,"Aether, Magical, Ocean",Frozen Ocean,any,any,,fishing,,,,,,TRUE,
0148,Dragonair,6,uncommon,14.4,30,42,Ocean,,any,any,,submerged,"Water, Ocean_Ruins",,,8,15,FALSE,
0148,Dragonair,7,ultra-rare,3.6,30,42,"Aether, Magical, Ocean",Frozen Ocean,any,any,,fishing,,,,8,15,FALSE,
0149,Dragonite,1,rare,0.25,55,60,Overworld,Deep Dark,any,any,,grounded,Natural,"maxY = 32, minecraft:water",,0,7,,
0149,Dragonite,2,uncommon,1.6,55,60,Ocean,,any,any,,submerged,"Water, Ocean_Ruins",,,,,TRUE,
0149,Dragonite,4,ultra-rare,0.4,55,60,Sky,,any,rain,,grounded,Natural,,,8,15,,
0149,Dragonite,5,rare,0.05,55,60,"Aether, Overworld",Deep Dark,any,any,,fishing,,maxY = 32,,0,7,,
0149,Dragonite,6,ultra-rare,0.4,55,60,"Aether, Magical, Ocean",Frozen Ocean,any,any,,fishing,,,,,,TRUE,
0149,Dragonite,7,uncommon,1.6,55,60,Ocean,,any,any,,submerged,"Water, Ocean_Ruins",,,8,15,FALSE,
0149,Dragonite,8,ultra-rare,0.4,55,60,"Aether, Magical, Ocean",Frozen Ocean,any,any,,fishing,,,,8,15,FALSE,
0152,Chikorita,1,ultra-rare,6,5,32,"Aether, Floral",,any,any,,grounded,Natural,,,8,15,,
0152,Chikorita,2,ultra-rare,6,5,32,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,8,15,,
0153,Bayleef,1,ultra-rare,3.6,16,41,"Aether, Floral",,any,any,,grounded,Natural,,,8,15,,
0153,Bayleef,2,ultra-rare,3.6,16,41,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,8,15,,
0154,Meganium,1,ultra-rare,0.4,32,53,"Aether, Floral",,any,any,,grounded,Natural,,,8,15,,
0154,Meganium,2,ultra-rare,0.4,32,53,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,8,15,,
0155,Cyndaquil,1,ultra-rare,6,5,31,Temperate,Spooky,any,any,,grounded,Natural,,,8,15,,
0155,Cyndaquil,2,ultra-rare,6,5,31,Taiga,,any,clear,,grounded,Natural,,,8,15,,region_bias=hisui
0155,Cyndaquil,3,ultra-rare,6,5,31,"Nether Crimson, Nether Forest, Nether Overgrowth",,any,any,,grounded,Natural,,,,,any,region_bias=hisui
0156,Quilava,1,ultra-rare,3.6,17,41,Temperate,Spooky,any,any,,grounded,Natural,,,8,15,,
0156,Quilava,2,ultra-rare,3.6,17,41,Taiga,,any,clear,,grounded,Natural,,,8,15,,region_bias=hisui
0156,Quilava,3,ultra-rare,3.6,17,41,"Nether Crimson, Nether Forest, Nether Overgrowth",,any,any,,grounded,Natural,,,,,any,region_bias=hisui
0157,Typhlosion,1,ultra-rare,0.4,36,53,Temperate,Spooky,any,any,,grounded,Natural,,,8,15,,
0157,Typhlosion [Hisuian],2,ultra-rare,0.4,36,53,Taiga,,any,clear,,grounded,Natural,,,8,15,,
0157,Typhlosion [Hisuian],3,ultra-rare,0.4,36,53,"Nether Crimson, Nether Forest, Nether Overgrowth",,any,any,,grounded,Natural,,,,,any,
0158,Totodile,1,ultra-rare,6,5,31,Swamp,,any,any,,grounded,Natural,,,8,15,,
0158,Totodile,2,ultra-rare,6,5,31,Swamp,,any,any,,submerged,Water,,,,,TRUE,
0158,Totodile,3,ultra-rare,6,5,31,"Arid, Jungle, Swamp",,any,any,,fishing,,,,,,TRUE,
0158,Totodile,4,ultra-rare,6,5,31,Swamp,,any,any,,submerged,Water,,,8,15,FALSE,
0158,Totodile,5,ultra-rare,6,5,31,"Arid, Jungle, Swamp",,any,any,,fishing,,,,8,15,FALSE,
0159,Croconaw,1,ultra-rare,3.6,18,41,Swamp,,any,any,,grounded,Natural,,,8,15,,
0159,Croconaw,2,ultra-rare,3.6,18,41,Swamp,,any,any,,submerged,Water,,,,,TRUE,
0159,Croconaw,3,ultra-rare,3.6,18,41,"Arid, Jungle, Swamp",,any,any,,fishing,,,,,,TRUE,
0159,Croconaw,4,ultra-rare,3.6,18,41,Swamp,,any,any,,submerged,Water,,,8,15,FALSE,
0159,Croconaw,5,ultra-rare,3.6,18,41,"Arid, Jungle, Swamp",,any,any,,fishing,,,,8,15,FALSE,
0160,Feraligatr,1,ultra-rare,0.4,30,53,Swamp,,any,any,,grounded,Natural,,,8,15,,
0160,Feraligatr,2,ultra-rare,0.4,30,53,Swamp,,any,any,,submerged,Water,,,,,TRUE,
0160,Feraligatr,3,ultra-rare,0.4,30,53,"Arid, Jungle, Swamp",,any,any,,fishing,,,,,,TRUE,
0160,Feraligatr,4,ultra-rare,0.4,30,53,Swamp,,any,any,,submerged,Water,,,8,15,FALSE,
0160,Feraligatr,5,ultra-rare,0.4,30,53,"Arid, Jungle, Swamp",,any,any,,fishing,,,,8,15,FALSE,
0161,Sentret,1,common,9,1,22,"Aether, Taiga, Temperate, Tundra",,any,any,,grounded,Natural,,,8,15,,
0162,Furret,1,common,1,15,42,"Aether, Taiga, Temperate, Tundra",,any,any,,grounded,Natural,,,8,15,,
0163,Hoothoot,1,common,9,1,26,"Forest, Sky, Spooky",,night,any,,grounded,"Natural, Treetop",,,8,15,,
0164,Noctowl,1,common,1,20,45,"Forest, Sky, Spooky",,night,any,,grounded,"Natural, Treetop",,,8,15,,
0165,Ledyba,1,common,10,2,27,Temperate,Freezing,day,clear,,grounded,"Natural, Treetop",,,8,15,,
0165,Ledyba,2,common,7,2,27,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0165,Ledyba,3,common,7,2,27,Aether,,any,any,,grounded,"Natural, Treetop",,,8,15,,
0166,Ledian,1,common,2,18,39,Temperate,Freezing,night,clear,,grounded,"Natural, Treetop",,,8,15,,
0166,Ledian,2,common,3,18,39,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0166,Ledian,3,common,3,18,39,Aether,,any,any,,grounded,"Natural, Treetop",,,8,15,,
0167,Spinarak,1,common,5.4,1,25,"Forest, Jungle, Spooky",Freezing,night,clear,,grounded,"Natural, Treetop",,,8,15,,
0167,Spinarak,2,common,1.8,1,25,Overworld,Deep Dark,any,any,,grounded,Natural,,,0,7,,
0167,Spinarak,3,common,5.4,1,25,Overworld,Deep Dark,any,any,,grounded,Derelict,minY = 0,,,,FALSE,
0167,Spinarak,4,common,9,1,25,,,any,any,,grounded,"Webs, Natural",,,0,7,,
0167,Spinarak,5,common,9,1,25,Overworld,,any,any,,grounded,Mansion,minecraft:cobweb,,,,FALSE,
0168,Ariados,1,common,0.6,22,40,"Forest, Jungle, Spooky",Freezing,night,clear,,grounded,"Natural, Treetop",,,8,15,,
0168,Ariados,2,common,0.2,22,40,Overworld,Deep Dark,any,any,,grounded,Natural,,,0,7,,
0168,Ariados,3,common,0.6,22,40,Overworld,Deep Dark,any,any,,grounded,Derelict,minY = 0,,,,FALSE,
0168,Ariados,4,common,1,22,40,,,any,any,,grounded,"Webs, Natural",,,0,7,,
0168,Ariados,5,common,1,22,40,Overworld,,any,any,,grounded,Mansion,minecraft:cobweb,,,,FALSE,
0169,Crobat,1,common,0.02,41,54,"Forest, Swamp","Spooky, Freezing",night,clear,,grounded,Natural,,,8,15,,
0169,Crobat,3,common,0.02,41,54,"Forest, Swamp","Spooky, Freezing",any,any,Night x0.25,grounded,Natural,,,0,7,,
0169,Crobat,4,common,0.1,41,54,Overworld,"Deep Dark, Forest, Swamp",any,any,Day x1.5,grounded,Natural,,,0,7,,
0169,Crobat,5,uncommon,0.08,41,54,Overworld,"Deep Dark, Forest, Swamp",any,any,Day x1.5,grounded,Derelict,,,,,FALSE,
0169,Crobat,6,common,0.1,41,54,Spooky,,any,clear,Night x1.5,grounded,Natural,,,8,15,,
0169,Crobat,8,uncommon,0.08,41,54,Deep Dark,,any,any,,grounded,Natural,,,0,7,,
0169,Crobat,9,common,0.1,41,54,Aether,,any,any,,grounded,Natural,,,0,7,,
0170,Chinchou,1,common,5.4,8,33,Deep Ocean,,any,any,,submerged,Water,maxY = 48,,,,TRUE,
0170,Chinchou,2,common,9,8,33,Ocean,,any,any,Lure0/1 x0.6,fishing,,,,,,TRUE,
0170,Chinchou,3,common,5.4,8,33,Deep Ocean,,any,any,,submerged,Water,maxY = 48,,8,15,FALSE,
0170,Chinchou,4,common,9,8,33,Ocean,,any,any,Lure0/1 x0.6,fishing,,,,8,15,FALSE,
0170,Chinchou,5,common,5.4,8,33,Overworld,,any,any,,submerged,Water,"structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13",,,,FALSE,
0170,Chinchou,6,common,9,8,33,Overworld,,any,any,Lure0/1 x0.6,fishing,,"structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13",,,,FALSE,
0171,Lanturn,1,common,0.6,27,46,Deep Ocean,,any,any,,submerged,Water,maxY = 48,,,,TRUE,
0171,Lanturn,2,common,1,27,46,Ocean,,any,any,Lure0/1 x0.6,fishing,,,,,,TRUE,
0171,Lanturn,3,common,0.6,27,46,Deep Ocean,,any,any,,submerged,Water,maxY = 48,,8,15,FALSE,
0171,Lanturn,4,common,1,27,46,Ocean,,any,any,Lure0/1 x0.6,fishing,,,,8,15,FALSE,
0171,Lanturn,5,common,0.6,27,46,Overworld,,any,any,,submerged,Water,"structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13",,,,FALSE,
0171,Lanturn,6,common,1,27,46,Overworld,,any,any,Lure0/1 x0.6,fishing,,"structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13",,,,FALSE,
0172,Pichu,1,uncommon,5.04,1,21,Forest,Spooky,any,any,Storm x5,grounded,Natural,,,8,15,,
0172,Pichu,2,uncommon,1.68,16,32,"Beach, Skyroot Forest, Skyroot Woodland, Tropical Island",Freezing,any,any,Storm x5,grounded,Natural,,,8,15,,region_bias=alola
0173,Cleffa,1,uncommon,8.4,1,22,Dripstone,,night,any,,grounded,Natural,,,8,15,,
0173,Cleffa,2,uncommon,8.4,1,22,"Aether, Dripstone",,any,any,,grounded,Natural,,,0,7,,
0173,Cleffa,3,uncommon,8.4,1,22,Hills,,night,any,,grounded,Natural,,,8,15,,
0173,Cleffa,4,uncommon,8.4,1,22,Magical,Spooky,night,any,,grounded,Natural,,,8,15,,
0174,Igglybuff,1,common,9,1,21,Floral,,any,any,Night x1.5,grounded,Natural,,,8,15,,
0174,Igglybuff,2,common,1.8,1,21,Plains,Floral,any,any,Night x1.5,grounded,Natural,,,8,15,,
0174,Igglybuff,3,common,9,1,21,"Skyroot Grove, Skyroot Meadow",,any,any,,grounded,Natural,,,8,15,,
0175,Togepi,1,rare,7.5,1,25,"Floral, Magical, Sky","Plains, Spooky",day,clear,,grounded,Natural,,,8,15,,
0175,Togepi,2,rare,7.5,1,25,"Skyroot Grove, Skyroot Meadow",,any,any,,grounded,Natural,,,8,15,,
0175,Togepi,3,rare,7.5,1,25,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0176,Togetic,1,rare,2.375,20,41,"Floral, Magical, Sky","Plains, Spooky",day,clear,,grounded,Natural,,,8,15,,
0176,Togetic,2,rare,2.375,20,41,"Skyroot Grove, Skyroot Meadow",,any,any,,grounded,Natural,,,8,15,,
0176,Togetic,3,rare,2.375,20,41,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0177,Natu,1,common,5.4,7,32,"Badlands, Plateau",,day,any,,grounded,"Natural, Treetop",,,8,15,,
0177,Natu,3,common,90,7,32,Overworld,,day,any,,grounded,Trail_Ruins,,,8,15,,
0178,Xatu,1,common,0.6,25,47,"Badlands, Plateau",,day,any,,grounded,"Natural, Treetop",,,8,15,,
0178,Xatu,3,common,10,25,47,Overworld,,day,any,,grounded,Trail_Ruins,,,8,15,,
0179,Mareep,1,common,9,3,28,"Highlands, Plains",,any,any,"Night x0.25, Storm x5",grounded,Natural,,,8,15,,
0180,Flaaffy,1,common,0.9,15,37,"Highlands, Plains",,any,any,"Night x0.25, Storm x5",grounded,Natural,,,8,15,,
0181,Ampharos,1,common,0.1,30,51,"Highlands, Plains",,any,any,"Night x0.25, Storm x5",grounded,Natural,,,8,15,,
0182,Bellossom,1,common,0.05,35,49,Floral,,day,any,,grounded,Natural,,,8,15,,
0182,Bellossom,2,common,0.01,35,49,Jungle,,day,any,,grounded,Natural,,,8,15,,
0182,Bellossom [Valencian],3,common,0.01,35,49,"Savanna, Tropical Island",,day,any,,grounded,Natural,,,8,15,,
0183,Marill,1,common,0.9,14,25,River,Freezing,any,any,,grounded,Natural,,,8,15,,
0183,Marill,2,uncommon,0.864,14,25,River,,any,any,,surface,Water,,,8,15,,
0183,Marill,3,common,0.9,14,25,"Floral, Hills, Magical, River, Snowy Forest, Taiga, Temperate",,any,any,Lure0/1 x0.6,fishing,,,,,,TRUE,
0183,Marill,4,common,0.9,14,25,"Floral, Hills, Magical, River, Snowy Forest, Taiga, Temperate",,any,any,Lure0/1 x0.6,fishing,,,,8,15,FALSE,
0184,Azumarill,1,common,0.1,18,42,River,Freezing,any,any,,grounded,Natural,,,8,15,,
0184,Azumarill,2,uncommon,0.096,18,42,River,,any,any,,surface,Water,,,8,15,,
0184,Azumarill,3,common,0.1,18,42,"Floral, Hills, Magical, River, Snowy Forest, Taiga, Temperate",,any,any,Lure0/1 x0.6,fishing,,,,,,TRUE,
0184,Azumarill,4,common,0.1,18,42,"Floral, Hills, Magical, River, Snowy Forest, Taiga, Temperate",,any,any,Lure0/1 x0.6,fishing,,,,8,15,FALSE,
0185,Sudowoodo,1,uncommon,0.96,16,41,Forest,Spooky,any,clear,,grounded,Natural,,,8,15,,
0186,Politoed,1,common,0.025,34,50,Swamp,,any,rain,,grounded,Natural,,,8,15,,
0186,Politoed,2,common,0.025,34,50,Swamp,,any,any,,submerged,Water,minecraft:lily_pad,,,,TRUE,
0186,Politoed,3,common,0.015,34,50,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate","Freezing, Swamp",any,rain,,grounded,Natural,minecraft:water,,8,15,,
0186,Politoed,4,common,0.015,34,50,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate","Freezing, Swamp",any,any,,submerged,Water,,,,,TRUE,
0186,Politoed,5,common,0.005,34,50,Lush,,any,any,,grounded,Natural,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0186,Politoed,6,common,0.015,34,50,Lush,,any,any,,submerged,Water,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0186,Politoed,7,common,0.025,34,50,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate",Freezing,any,any,,fishing,,,,,,TRUE,
0186,Politoed,8,common,0.025,34,50,Lush,,any,any,Lure0/1 x0.6,fishing,,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0186,Politoed,9,common,0.025,34,50,Swamp,,any,any,,submerged,Water,minecraft:lily_pad,,8,15,FALSE,
0186,Politoed,10,common,0.015,34,50,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate","Freezing, Swamp",any,any,,submerged,Water,,,8,15,FALSE,
0186,Politoed,11,common,0.025,34,50,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate",Freezing,any,any,,fishing,,,,8,15,FALSE,
0186,Politoed,12,common,0.005,34,50,Overworld,Lush,any,any,,grounded,Natural,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0186,Politoed,13,common,0.015,34,50,Overworld,Lush,any,any,,submerged,Water,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0186,Politoed,14,common,0.025,34,50,Overworld,Lush,any,any,Lure0/1 x0.6,fishing,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0187,Hoppip,1,common,9,1,25,Plains,,any,clear,Night x0.25,grounded,"Natural, Treetop",,,8,15,,
0187,Hoppip,3,common,9,1,25,"Skyroot Grove, Skyroot Meadow",,any,clear,,grounded,"Natural, Treetop",,,8,15,,
0187,Hoppip,4,common,9,1,25,Floral Meadow,,any,any,,grounded,Natural,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0188,Skiploom,1,common,0.9,18,34,Plains,,any,clear,Night x0.25,grounded,"Natural, Treetop",,,8,15,,
0188,Skiploom,3,common,0.9,18,34,"Skyroot Grove, Skyroot Meadow",,any,clear,,grounded,"Natural, Treetop",,,8,15,,
0188,Skiploom,4,common,0.9,18,34,Floral Meadow,,any,clear,,grounded,Natural,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0189,Jumpluff,1,common,0.1,27,46,Plains,,any,any,Night x0.25,grounded,"Natural, Treetop",,,8,15,,
0189,Jumpluff,3,common,0.1,27,46,"Skyroot Grove, Skyroot Meadow",,any,any,,grounded,"Natural, Treetop",,,8,15,,
0189,Jumpluff,4,common,0.1,27,46,Floral Meadow,,any,any,,grounded,Natural,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0190,Aipom,1,common,5.4,11,36,"Jungle, Tropical Island",,any,any,,grounded,"Natural, Treetop",,,8,15,,
0190,Aipom,2,common,5.4,11,36,Overworld,,any,any,,grounded,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0191,Sunkern,1,common,9.5,1,18,Sunflower Plains,,any,any,Night x0.25,grounded,Natural,minecraft:sunflower,,8,15,,
0191,Sunkern,2,common,9.5,1,18,Overworld,Sunflower Plains,any,any,Night x0.25,grounded,Natural,minecraft:sunflower,,8,15,,
0191,Sunkern,3,common,5.7,1,18,"Skyroot Grove, Skyroot Meadow",,any,any,,grounded,Natural,,,8,15,,
0191,Sunkern,4,common,9.5,1,18,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0192,Sunflora,1,common,0.5,13,43,Sunflower Plains,,any,any,Night x0.25,grounded,Natural,minecraft:sunflower,,8,15,,
0192,Sunflora,2,common,0.5,13,43,Overworld,Sunflower Plains,any,any,Night x0.25,grounded,Natural,minecraft:sunflower,,8,15,,
0192,Sunflora,3,common,0.3,13,43,"Skyroot Grove, Skyroot Meadow",,any,any,,grounded,Natural,,,8,15,,
0192,Sunflora,4,common,0.5,13,43,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0193,Yanma,1,uncommon,5.04,14,39,Freshwater,Freezing,day,clear,,surface,Water,,,8,15,,
0193,Yanma,2,uncommon,1.68,14,39,Lush,,any,any,,surface,Water,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0193,Yanma,3,uncommon,1.68,14,39,Bumblezone,,any,any,,surface,Water,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0193,Yanma,4,uncommon,1.68,14,39,Overworld,Lush,any,any,,surface,Water,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0193,Yanma,5,uncommon,5.04,14,39,Aether,,any,any,,surface,Water,,,8,15,,
0194,Wooper,1,common,9,1,21,Lush,,any,any,,grounded,Natural,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0194,Wooper,2,common,9,1,21,Lush,,any,any,,submerged,Water,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0194,Wooper,3,uncommon,8.4,1,21,Overworld,Lush,any,any,,grounded,Natural,"minecraft:water, maxY = 62",,0,7,,
0194,Wooper,4,uncommon,8.4,1,21,Overworld,Lush,any,any,,submerged,Water,maxY = 62,,0,7,,
0194,Wooper,5,common,1.8,1,21,Swamp,Muddy,any,rain,,grounded,Natural,,,8,15,,
0194,Wooper,6,common,1.8,1,21,Swamp,Muddy,any,any,,submerged,Water,,,,,TRUE,
0194,Wooper,7,common,1.8,1,21,Swamp,Muddy,any,any,,submerged,Water,,,8,15,FALSE,
0194,Wooper,8,common,9,1,21,"Aether, Overworld",,any,any,,fishing,,,,0,7,,
0194,Wooper,9,common,1.8,1,21,"Mushroom, Swamp",Muddy,any,any,"Lure2 x3, Lure3 x5",fishing,,,,,,TRUE,
0194,Wooper,10,common,1.8,1,21,"Mushroom, Swamp",Muddy,any,any,"Lure2 x3, Lure3 x5",fishing,,,,8,15,FALSE,
0194,Wooper,11,common,9,1,21,Overworld,Lush,any,any,,grounded,Natural,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0194,Wooper,12,common,9,1,21,Overworld,Lush,any,any,,submerged,Water,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0194,Wooper,13,uncommon,8.4,1,21,Aether,,any,any,,grounded,Natural,minecraft:water,,0,7,,
0194,Wooper,14,uncommon,8.4,1,21,Aether,,any,any,,submerged,Water,,,0,7,,
0194,Wooper,15,uncommon,10,1,21,"Aether, Overworld",,any,any,,fishing,,bobber = love_ball,,0,7,,wooper_heart=true
0194,Wooper,16,uncommon,2,1,21,"Mushroom, Swamp",Muddy,any,any,"Lure2 x3, Lure3 x5",fishing,,bobber = love_ball,,,,TRUE,wooper_heart=true
0194,Wooper,17,common,20,1,21,"Aether, Overworld",,any,any,,fishing,,bait = love_sweet,,0,7,,wooper_heart=true
0194,Wooper,18,common,20,1,21,"Mushroom, Swamp",Muddy,any,any,"Lure2 x3, Lure3 x5",fishing,,bait = love_sweet,,,,TRUE,wooper_heart=true
0194,Wooper,19,uncommon,2,1,21,"Mushroom, Swamp",Muddy,any,any,"Lure2 x3, Lure3 x5",fishing,,bobber = love_ball,,8,15,FALSE,wooper_heart=true
0194,Wooper,20,common,20,1,21,"Mushroom, Swamp",Muddy,any,any,"Lure2 x3, Lure3 x5",fishing,,bait = love_sweet,,8,15,FALSE,wooper_heart=true
0194,Wooper [Paldean],21,common,9,1,21,Muddy,,any,any,,grounded,Natural,,,8,15,,
0194,Wooper [Paldean],22,common,9,1,21,Muddy,,any,any,,submerged,Water,,,,,TRUE,
0194,Wooper [Paldean],23,uncommon,8.4,1,21,Savanna,,any,any,,grounded,Natural,minecraft:water,,8,15,,
0194,Wooper [Paldean],24,uncommon,8.4,1,21,Savanna,,any,any,,submerged,Water,,,,,TRUE,
